source,size,result,duration,disambiguationDuration,errorSize
|std:///analysis/grammars/Dependency.rsc?deletedChar=0|,1070,recovery,0,2,341
|std:///analysis/grammars/Dependency.rsc?deletedChar=93|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=94|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=95|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=96|,1070,success,11,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=97|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=98|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=99|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=100|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=101|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=102|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=103|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=104|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=105|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=106|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=107|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=108|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=109|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=110|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=111|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=112|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=113|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=114|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=115|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=116|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=117|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=118|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=119|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=120|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=121|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=122|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=123|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=124|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=125|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=126|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=127|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=128|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=129|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=130|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=131|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=132|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=133|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=134|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=135|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=136|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=137|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=138|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=139|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=140|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=141|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=142|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=143|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=144|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=145|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=146|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=147|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=148|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=149|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=150|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=151|,1070,success,10,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=152|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=153|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=154|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=155|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=156|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=157|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=158|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=159|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=160|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=161|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=162|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=163|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=164|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=165|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=166|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=167|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=168|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=169|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=170|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=171|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=172|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=173|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=174|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=175|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=176|,1070,success,5,-1,0
